"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"57","인천광역시 부평구 부평동","464-40","0464","0040","TK리즈빌","48.0300","202312","24","19,000","TK리즈빌","12","-","-","2015","부평대로 105","-","중개거래","인천 부평구","24.01.17"
"58","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202312","24","29,500","509","12","-","-","1998","부개로 11","-","중개거래","인천 부평구","24.02.02"
"59","인천광역시 부평구 산곡동","274-5","0274","0005","경남4차","84.8700","202312","23","29,000","408","1","-","-","1994","안남로206번길 18","-","중개거래","인천 부평구","24.05.29"
"60","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","84.9900","202312","23","30,000","제509동","3","-","-","1993","안남로 260","-","직거래","-","24.04.29"
"61","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202312","23","32,000","11","2","-","-","1986","부평문화로 37","-","중개거래","인천 부평구","24.03.22"
"62","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","84.9588","202312","23","55,900","108","7","-","-","2007","원적로 344","-","중개거래","인천 부평구","24.02.27"
"63","인천광역시 부평구 부평동","482-5","0482","0005","센트럴빌","59.6050","202312","23","18,000","-","3","-","-","2016","부일로19번길 23","-","중개거래","인천 부평구","24.02.14"
"64","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202312","23","53,500","-","10","-","-","2005","수변로 333","-","중개거래","인천 부평구","-"
"65","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.9600","202312","23","61,000","707","3","-","-","2004","체육관로 27","-","중개거래","인천 부평구","24.03.08"
"66","인천광역시 부평구 삼산동","448-1","0448","0001","신성미소지움3단지","139.6700","202312","23","104,000","310","23","-","-","2005","수변로 334","-","중개거래","인천 부평구","24.04.15"
"67","인천광역시 부평구 부평동","252-29","0252","0029","건영캐스빌","59.6500","202312","23","16,500","-","9","-","-","2002","부흥로304번길 17","-","중개거래","인천 부평구","24.01.05"
"68","인천광역시 부평구 산곡동","261-8","0261","0008","경남5차","84.9700","202312","23","28,250","502","17","-","-","1992","마장로264번길 66","-","중개거래","인천 부평구","24.01.08"
"69","인천광역시 부평구 청천동","300","0300","0000","삼익","61.3800","202312","23","23,400","2","5","-","-","1986","부평대로167번길 43","-","중개거래","인천 부평구","24.01.30"
"70","인천광역시 부평구 산곡동","43-1","0043","0001","수암","44.8200","202312","23","29,100","제2동","5","-","-","1988","마장로361번길 15","-","중개거래","인천 부평구","24.01.12"
"71","인천광역시 부평구 십정동","607","0607","0000","동암신동아","84.9400","202312","22","34,000","109","13","-","-","2000","아트센터로 118","-","중개거래","인천 부평구","24.03.29"
"72","인천광역시 부평구 산곡동","274-5","0274","0005","경남4차","59.7150","202312","22","23,000","411","18","-","-","1994","안남로206번길 18","-","중개거래","인천 부평구","24.02.13"
"73","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202312","22","23,500","-","14","-","-","1996","길주남로 144","-","중개거래","인천 부평구","-"
"74","인천광역시 부평구 부평동","179-8","0179","0008","해피에이스","47.8200","202312","22","21,700","-","11","-","-","2015","경원대로 1434","-","중개거래","인천 부평구","24.03.18"
"75","인천광역시 부평구 부평동","119-2","0119","0002","스위트홈","45.0000","202312","21","15,500","스위트홈","10","-","-","2014","부흥북로 88","-","중개거래","인천 부평구","23.12.26"
"76","인천광역시 부평구 갈산동","362","0362","0000","하나","84.7500","202312","21","32,700","-","3","-","-","1992","갈월서로 45","20240120","중개거래","인천 부평구","-"
"77","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","72.5400","202312","21","32,000","203","4","-","-","1987","안남로 91","-","중개거래","인천 부평구","24.02.20"
"78","인천광역시 부평구 일신동","410","0410","0000","일신주공아파트(100~112동)","59.9700","202312","21","26,500","104","2","-","-","1995","항동로75번길 11","-","중개거래","인천 부평구","23.12.29"
"79","인천광역시 부평구 구산동","360","0360","0000","부평자이","84.7461","202312","21","39,800","104","14","-","-","2006","일신로 120","-","중개거래","인천 부평구","24.03.08"
"80","인천광역시 부평구 산곡동","261-8","0261","0008","경남5차","84.9700","202312","21","24,500","502","2","-","-","1992","마장로264번길 66","-","중개거래","인천 부평구","24.03.18"
"81","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","59.9509","202312","21","28,200","103","3","-","-","2019","원적로 238","-","중개거래","인천 부평구","24.02.27"
"82","인천광역시 부평구 십정동","607","0607","0000","동암신동아","84.9400","202312","21","34,000","107","19","-","-","2000","아트센터로 118","-","중개거래","인천 부평구","24.01.24"
"83","인천광역시 부평구 부평동","65-124","0065","0124","한국1","122.2260","202312","21","41,700","제101","11","-","-","1998","부영로166번길 12","-","중개거래","인천 부평구","24.04.09"
"84","인천광역시 부평구 십정동","609","0609","0000","부평금호어울림","112.9800","202312","20","45,500","101","13","-","-","2008","경원대로1110번길 20","-","중개거래","인천 부평구","24.01.04"
"85","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9800","202312","20","27,500","313","12","-","-","1996","길주남로 144","-","중개거래","인천 부평구","24.02.02"
"86","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","74.4387","202312","20","57,000","102","19","-","-","2021","부평문화로 216","-","중개거래","인천 부평구","24.01.18"
"87","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202312","20","51,500","218","19","-","-","2005","수변로 333","-","중개거래","인천 부평구","24.02.21"
"88","인천광역시 부평구 삼산동","359-2","0359","0002","광명13차","57.4200","202312","20","12,700","2","6","-","-","1990","후정동로 68","-","중개거래","인천 부평구","24.01.31"
"89","인천광역시 부평구 삼산동","60-6","0060","0006","태산","56.9300","202312","20","16,500","1","2","-","-","1989","후정동로 50","-","중개거래","인천 부평구","24.03.20"
"90","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","41.3000","202312","20","18,500","105","7","-","-","1992","굴포로 81","-","중개거래","인천 남동구","24.03.08"
"91","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202312","19","28,500","110","6","-","-","2005","이규보로 79","-","중개거래","인천 부평구","24.01.24"
"92","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202312","19","37,000","제5","3","-","-","1991","부일로113번길 11","-","중개거래","인천 부평구","24.03.29"
